"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V_cte","der(Q)","i_in","i_out"
12.8,80,99.45218953682733,37.49784104929164,37.5,75,49.997121399055516,24,2.2514108260216826e-4,4.143841230701139,3.3333333333333335
12.9,80,99.30684569549263,37.497863370051164,37.5,75,49.99715116006822,24,2.2345886221634989e-4,4.137785237312193,3.3333333333333335
13,80,99.14448613738105,37.49788552487817,37.5,75,49.997180699837564,24,2.2157970066413241e-4,4.13102025572421,3.3333333333333335
13.1,80,98.96513868196702,37.49790749396469,37.5,75,49.997209991952914,24,2.195039199301738e-4,4.123547445081959,3.3333333333333335
13.2,80,98.76883405951378,37.49792925750271,37.5,75,49.99723901000361,24,2.1723187568881684e-4,4.115368085813074,3.3333333333333335
13.3,80,98.55560590580778,37.497950795684275,37.5,75,49.99726772757903,24,2.1476395724314565e-4,4.106483579408658,3.3333333333333335
13.4,80,98.32549075639547,37.49797208870137,37.5,75,49.997296118268494,24,2.1210058745828092e-4,4.096895448183145,3.3333333333333335
13.5,80,98.07852804032305,37.49799311674602,37.5,75,49.99732415566135,24,2.0924222268892408e-4,4.08660533501346,3.3333333333333335
13.6,80,97.81476007338057,37.49801386001023,37.5,75,49.997351813346974,24,2.0618935270116402e-4,4.075615003057524,3.3333333333333335
13.7,80,97.53423205085127,37.498034298686015,37.5,75,49.99737906491469,24,2.0294250058855643e-4,4.063926335452137,3.3333333333333335
13.8,80,97.23699203976767,37.498054413732525,37.5,75,49.9974058849767,24,1.9950222268249606e-4,4.051541334990319,3.3333333333333335
13.9,80,96.92309097067545,37.49807418584643,37.5,75,49.99743224779524,24,1.9586910845689162e-4,4.038462123778143,3.3333333333333335
14,80,96.59258262890683,37.498093594239926,37.5,75,49.99745812565323,24,1.920437804271623e-4,4.024690942871118,3.3333333333333335
14.1,80,96.24552364536474,37.49811261911889,37.5,75,49.99748349215852,24,1.8802689404357327e-4,4.010230151890197,3.3333333333333335
14.2,80,95.88197348681932,37.49813124068919,37.5,75,49.99750832091892,24,1.8381913757892728e-4,3.9950822286174716,3.3333333333333335
14.3,80,95.50199444571867,37.49814943915672,37.5,75,49.997532585542295,24,1.7942123201063266e-4,3.979249768571611,3.3333333333333335
14.4,80,95.10565162951536,37.49816719472736,37.5,75,49.997556259636475,24,1.7483393089716854e-4,3.96273548456314,3.3333333333333335
14.5,80,94.69301294951057,37.49818448760696,37.5,75,49.99757931680928,24,1.7005802024896494e-4,3.9455422062296073,3.3333333333333335
14.6,80,94.26414910921784,37.49820129800143,37.5,75,49.99760173066858,24,1.6509431839372492e-4,3.927672879550743,3.3333333333333335
14.7,80,93.81913359224842,37.49821760611664,37.5,75,49.99762347482219,24,1.599436758362085e-4,3.909130566343684,3.3333333333333335
14.8,80,93.35804264972019,37.49823339215846,37.5,75,49.99764452287795,24,1.546069751125022e-4,3.8899184437383414,3.3333333333333335
14.9,80,92.88095528719242,37.498248636332775,37.5,75,49.997664848443705,24,1.4908513063880118e-4,3.8700398036330177,3.3333333333333335
15,80,92.38795325112868,37.49826331884546,37.5,75,49.99768442512728,24,1.4337908855473e-4,3.8494980521303614,3.3333333333333335
15.1,80,91.87912101488985,37.4982774199024,37.5,75,49.99770322653653,24,1.3748982656122503e-4,3.8282967089537436,3.3333333333333335
15.2,80,91.35454576426011,37.498290919709476,37.5,75,49.9977212262793,24,1.3141835375301054e-4,3.8064394068441714,3.3333333333333335
15.3,80,90.81431738250815,37.49830379847255,37.5,75,49.997738397963396,24,1.2516571044569614e-4,3.7839298909378396,3.3333333333333335
15.4,80,90.25852843498608,37.49831603639751,37.5,75,49.99775471519668,24,1.1873296799752403e-4,3.76077201812442,3.3333333333333335
15.5,80,89.68727415326883,37.49832761369024,37.5,75,49.99777015158699,24,1.1212122862579666e-4,3.7369697563862014,3.3333333333333335
15.6,80,89.10065241883679,37.498338510556614,37.5,75,49.99778468074215,24,1.0533162521801833e-4,3.7125271841181995,3.3333333333333335
15.7,80,88.4987637463042,37.49834870720251,37.5,75,49.99779827627001,24,9.836532113778009e-5,3.687448489429342,3.3333333333333335
15.8,80,87.88171126619653,37.4983583587758,37.5,75,49.997811145034404,24,9.122351002542279e-5,3.6617379694248555,3.3333333333333335
15.9,80,87.24960070727973,37.49836735086373,37.5,75,49.997823134484975,24,8.390741559351526e-5,3.6354000294699884,3.3333333333333335
16,80,86.60254037844388,37.498375618731224,37.5,75,49.997834158308294,24,7.641829141717442e-5,3.6084391824351614,3.3333333333333335
16.1,80,85.94064115014528,37.49838314423623,37.5,75,49.99784419231497,24,6.875742071927401e-5,3.58086004792272,3.3333333333333335
16.2,80,85.26401643540925,37.498389909236714,37.5,75,49.99785321231562,24,6.092611615056994e-5,3.5526673514753853,3.3333333333333335
16.3,80,84.57278217039732,37.498395895590626,37.5,75,49.99786119412084,24,5.292571956478377e-5,3.523865923766555,3.3333333333333335
16.4,80,83.86705679454242,37.49840108515593,37.5,75,49.997868113541244,24,4.475760178868539e-5,3.494460699772601,3.3333333333333335
16.5,80,83.14696123025453,37.498405459790575,37.5,75,49.997873946387436,24,3.642316238720516e-5,3.464456717927272,3.3333333333333335
16.6,80,82.41261886220158,37.49840900135251,37.5,75,49.99787866847002,24,2.7923829423629354e-5,3.433859119258399,3.3333333333333335
16.7,80,81.66415551616791,37.498411691699715,37.5,75,49.99788225559962,24,1.926105921490636e-5,3.4026731465069964,3.3333333333333335
16.8,80,80.90169943749474,37.49841351269012,37.5,75,49.99788468358683,24,1.0436336082115064e-5,3.3709041432289477,3.3333333333333335
16.9,80,80.12538126910609,37.498414446181705,37.5,75,49.997885928242276,24,1.4511720961352114e-6,3.3385575528794202,3.3333333333333335
17,80,79.33533402912354,37.49841447403241,37.5,75,49.99788596537654,24,-7.692893181440545e-6,3.3056389178801475,3.3333333333333335
17.1,80,78.53169308807449,37.4984135781002,37.5,75,49.99788477080027,24,-1.6994292962100803e-5,3.2721538786697706,3.3333333333333335
17.2,80,77.7145961456971,37.49841174024302,37.5,75,49.997882320324024,24,-2.645143349887623e-5,3.238108172737379,3.3333333333333335
17.3,80,76.88418320734596,37.49840894231884,37.5,75,49.99787858975846,24,-3.606269435942185e-5,3.203507633639415,3.3333333333333335
17.4,80,76.04059656000312,37.498405166185606,37.5,75,49.99787355491414,24,-4.582642870366755e-5,3.16835819,3.3333333333333335
17.5,80,75.18398074789778,37.498400393701274,37.5,75,49.9978671916017,24,-5.5740963565998026e-5,3.1326658644957406,3.3333333333333335
17.6,80,74.31448254773943,37.49839460672382,37.5,75,49.99785947563176,24,-6.580460014190474e-5,3.0964367728224764,3.3333333333333335
17.7,80,73.43225094356856,37.49838778711117,37.5,75,49.997850382814896,24,-7.601561407906761e-5,3.05967712264869,3.3333333333333335
17.8,80,72.53743710122878,37.498379916721305,37.5,75,49.99783988896174,24,-8.637225577281514e-5,3.022393212551199,3.3333333333333335
17.9,80,71.63019434246547,37.49837097741217,37.5,75,49.9978279698829,24,-9.687275066590889e-5,2.9845914309360615,3.3333333333333335
18,80,70.71067811865476,37.498360951041725,37.5,75,49.99781460138897,24,-1.0751529955260705e-4,2.946278254943948,3.3333333333333335
18.1,80,69.77904598416802,37.49834981946792,37.5,75,49.99779975929056,24,-1.1829807888694427e-4,2.907460249340334,3.3333333333333335
18.2,80,68.83545756937542,37.498337564548706,37.5,75,49.997783419398274,24,-1.2921924109519188e-4,2.8681440653906427,3.3333333333333335
18.3,80,67.88007455329421,37.49832416814207,37.5,75,49.99776555752276,24,-1.4027691489242814e-4,2.828336439720592,3.3333333333333335
18.4,80,66.91306063588584,37.49831008530558,37.5,75,49.99774678040744,24,-1.5146920560317313e-4,2.78804419316191,3.3333333333333335
18.5,80,65.9345815100069,37.49829500802616,37.5,75,49.99772667736821,24,-1.6279419548603137e-4,2.7472742295836206,3.3333333333333335
18.6,80,64.94480483301838,37.49827880828665,37.5,75,49.99770507771553,24,-1.7424994406228727e-4,2.7060335347090994,3.3333333333333335
18.7,80,63.943900198058515,37.498261470807144,37.5,75,49.99768196107619,24,-1.858344884483968e-4,2.664329174919105,3.3333333333333335
18.8,80,62.93203910498377,37.49824298030773,37.5,75,49.99765730707697,24,-1.9754584369231746e-4,2.6221682960409907,3.3333333333333335
18.9,80,61.90939493098342,37.49822332150847,37.5,75,49.99763109534462,24,-2.0938200311361793e-4,2.579558122124309,3.3333333333333335
19,80,60.87614290087209,37.498202479129475,37.5,75,49.99760330550597,24,-2.213409386473138e-4,2.5365059542030037,3.3333333333333335
19.1,80,59.832460057065916,37.498180437890795,37.5,75,49.99757391718773,24,-2.334206011913668e-4,2.493019169044413,3.3333333333333335
19.2,80,58.77852522924736,37.49815718251253,37.5,75,49.997542910016705,24,-2.4561892095778526e-4,2.4491052178853066,3.3333333333333335
19.3,80,57.71451900372336,37.49813269771475,37.5,75,49.997510263619674,24,-2.57933807827276e-4,2.40477162515514,3.3333333333333335
19.4,80,56.64062369248332,37.498106968217556,37.5,75,49.99747595762341,24,-2.70363151707369e-4,2.360025987186805,3.3333333333333335
19.5,80,55.55702330196025,37.498079978741,37.5,75,49.99743997165467,24,-2.8290482289397865e-4,2.3148759709150104,3.3333333333333335
19.6,80,54.46390350150273,37.4980517140052,37.5,75,49.997402285340264,24,-2.955566724363111e-4,2.2693293125626135,3.3333333333333335
19.7,80,53.36145159156117,37.4980221587302,37.5,75,49.99736287830693,24,-3.0831653250507914e-4,2.2233938163150486,3.3333333333333335
19.8,80,52.24985647159489,37.497991297636126,37.5,75,49.997321730181504,24,-3.2118221676394814e-4,2.17707735298312,3.3333333333333335
19.9,80,51.12930860770525,37.49795911544301,37.5,75,49.99727882059068,24,-3.341515207441523e-4,2.130387858654385,3.3333333333333335
20,80,50,37.497925596870964,37.5,75,49.997234129161285,24,-3.4722222222222186e-4,2.083333333333335,3.3333333333333335
20.1,80,48.86212414969548,37.49789072664007,37.5,75,49.9971876355201,24,-3.603920816007468e-4,2.035921839570645,3.3333333333333335
20.2,80,47.71587602596086,37.4978544894704,37.5,75,49.997139319293865,24,-3.7365884229211975e-4,1.9881615010817024,3.3333333333333335
20.3,80,46.561452032511156,37.49781687008204,37.5,75,49.99708916010939,24,-3.87020231105195e-4,1.9400605013546315,3.3333333333333335
20.4,80,45.39904997395473,37.49777785319507,37.5,75,49.99703713759342,24,-4.0047395863478325e-4,1.8916270822481138,3.3333333333333335
